codigo_ocorrencia,codigo_ocorrencia1,codigo_ocorrencia2,codigo_ocorrencia3,codigo_ocorrencia4,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,investigacao_aeronave_liberada,investigacao_status,total_recomendacoes,total_aeronaves_envolvidas,ocorrencia_saida_pista
78662,78662,78662,78662,78662,INCIDENTE,SÃO PAULO,SP,SBMT,15/04/2019,18:30:00,SIM,FINALIZADA,0,1,NÃO
79359,79359,79359,79359,79359,ACIDENTE,MACATUBA,SP,****,17/05/2020,18:30:00,SIM,FINALIZADA,1,1,NÃO
48761,48761,48761,48761,48761,INCIDENTE,SÃO PAULO,SP,****,17/06/2013,18:30:00,***,FINALIZADA,0,1,NÃO
78777,78777,78777,78777,78777,ACIDENTE,PIEDADE,SP,****,04/09/2019,18:30:00,SIM,ATIVA,0,1,NÃO
80303,80303,80303,80303,80303,INCIDENTE,SÃO PAULO,SP,SBMT,19/09/2021,18:30:00,SIM,FINALIZADA,0,1,NÃO
52713,52713,52713,52713,52713,INCIDENTE,JUNDIAÍ,SP,SBJD,18/11/2014,18:30:00,***,FINALIZADA,0,1,NÃO
51754,51754,51754,51754,51754,ACIDENTE,UBATUBA,SP,****,05/07/2014,18:30:00,***,NULL,0,1,NÃO
79570,79570,79570,79570,79570,INCIDENTE,LINS,SP,****,29/09/2020,18:30:00,SIM,FINALIZADA,0,1,NÃO
79573,79573,79573,79573,79573,INCIDENTE,PIRAJUÍ,SP,****,29/09/2020,18:30:00,SIM,NULL,0,1,NÃO
78354,78354,78354,78354,78354,INCIDENTE,GUARULHOS,SP,SBGR,10/12/2018,23:30:00,SIM,FINALIZADA,0,1,NÃO
79758,79758,79758,79758,79758,INCIDENTE,SÃO PAULO,SP,****,02/01/2021,18:30:00,SIM,FINALIZADA,0,1,NÃO
52263,52263,52263,52263,52263,INCIDENTE GRAVE,SÃO JOSÉ DO RIO PRETO,SP,SBSR,05/08/2014,18:30:00,SIM,FINALIZADA,0,1,NÃO
66078,66078,66078,66078,66078,ACIDENTE,SÃO LOURENÇO DA SERRA,SP,****,04/12/2016,18:30:00,SIM,FINALIZADA,2,1,NÃO
47312,47312,47312,47312,47312,INCIDENTE,RIBEIRÃO PRETO,SP,SBRP,25/03/2013,18:25:00,***,FINALIZADA,0,1,NÃO
77388,77388,77388,77388,77388,INCIDENTE,SÃO PAULO,SP,SBMT,29/10/2017,18:25:00,SIM,FINALIZADA,0,1,NÃO
66623,66623,66623,66623,66623,INCIDENTE,SÃO PAULO,SP,SBSP,06/04/2017,18:24:00,SIM,FINALIZADA,0,1,NÃO
80045,80045,80045,80045,80045,INCIDENTE,CAMPINAS,SP,SDAM,25/04/2021,18:24:00,SIM,FINALIZADA,0,1,NÃO
60882,60882,60882,60882,60882,ACIDENTE,SÃO PAULO,SP,****,19/03/2016,18:23:00,SIM,FINALIZADA,0,1,NÃO
80151,80151,80151,80151,80151,INCIDENTE,SÃO PAULO,SP,SBSP,15/06/2021,18:22:00,SIM,FINALIZADA,0,1,NÃO
79398,79398,79398,79398,79398,INCIDENTE,BAURU,SP,SBBU,15/06/2020,18:20:00,SIM,FINALIZADA,0,1,NÃO
46721,46721,46721,46721,46721,INCIDENTE,GUARULHOS,SP,SBGR,06/12/2012,18:20:00,***,FINALIZADA,0,1,NÃO
53346,53346,53346,53346,53346,INCIDENTE,SÃO PAULO,SP,SBMT,21/06/2015,18:20:00,***,FINALIZADA,0,1,NÃO
48896,48896,48896,48896,48896,INCIDENTE,SÃO PAULO,SP,SBMT,20/06/2013,18:20:00,***,FINALIZADA,0,1,NÃO
77794,77794,77794,77794,77794,INCIDENTE,SÃO PAULO,SP,SBMT,08/04/2018,18:20:00,SIM,FINALIZADA,0,1,NÃO
